Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,204.6316964,208.8378793,226.08189,214.7852167,207.6266987,185.2136444,172.1587293,210.8190166,194.917536,253.5445738,281.9623159,243.8621009,234.8512256,258.8499236,233.4927883,168.7401612,360.8532334,189.1634032,161.8063292,170.1059494,174.6945937,165.1212662,182.2709607,92.36315561,228.3922421,266.4835618,2.868273605,7.234613021,10.0273284,10.63455835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Eastern and Southern,0.906059557,0.922473917,0.930815894,0.940569529,0.996033447,1.047279743,1.033908319,1.052204052,1.079726652,1.104631605,1.123261243,1.219593048,1.209262779,1.204522542,1.186045209,1.181139367,1.190203366,1.182217743,1.169157603,1.216900549,1.235910896,1.319763789,1.367396551,1.386366901,1.431963637,1.423144569,1.4207769,1.390141636,1.407205363,1.357143612,1.017504843,0.971323798,0.931920141,0.925464632,0.918611814,0.946474948,0.951132322,0.971562628,0.969680078,0.908374394,0.90039915,0.971980787,0.975749135,1.009962896,1.057181535,1.032998428,1.023645551,1.045967785,1.086448849,1.021953566,1.048875556,1.00533811,1.021646329,1.031833091,1.041144792,0.987393167,0.971016455,0.959978017,0.933541201
Afghanistan,0.046056743,0.053588858,0.073720823,0.074160764,0.086173694,0.101284933,0.107398839,0.123409413,0.115142487,0.086509888,0.149651314,0.165208249,0.129995517,0.135366588,0.154503116,0.167612303,0.153557886,0.181522332,0.16189422,0.167066362,0.131783027,0.150614588,0.163104061,0.201224272,0.23196108,0.293957031,0.26777195,0.269229503,0.246823208,0.233882273,0.238472916,0.206030281,0.098719116,0.085985605,0.076131454,0.069020116,0.062588034,0.056826618,0.053197499,0.04065273,0.037054937,0.037487865,0.0486709,0.057008038,0.045699608,0.06392697,0.073392946,0.087083129,0.158356378,0.211306251,0.297065212,0.407073503,0.335351023,0.263715761,0.234036914,0.232175631,0.208857196,0.203327569,0.200151071
Africa Western and Central,0.090879548,0.095282835,0.096612374,0.112376069,0.133258462,0.184802797,0.193675909,0.189305086,0.143988572,0.20212888,0.30264348,0.392109391,0.45999287,0.538522176,0.63596558,0.514018318,0.550024411,0.516336767,0.508535708,0.648273152,0.634540785,0.60471417,0.599648543,0.539567272,0.581373176,0.583495478,0.543987567,0.474906023,0.53496193,0.414090443,0.440470203,0.474867701,0.516676903,0.518951549,0.49285848,0.48749479,0.507633495,0.488415589,0.46162232,0.453548996,0.44724362,0.474139685,0.474875186,0.474592265,0.474318246,0.509458302,0.48795251,0.475147838,0.475024545,0.426769596,0.472819125,0.497022584,0.490866787,0.504655299,0.507671121,0.480743071,0.472959364,0.476437769,0.515544239
Angola,0.100835243,0.082204109,0.210532979,0.202739053,0.213562174,0.205890819,0.268937204,0.172095822,0.289701979,0.480199019,0.608224115,0.564505063,0.72119831,0.751202772,0.720750477,0.628569444,0.451346016,0.469216256,0.694730973,0.683059133,0.640966325,0.611132856,0.519353408,0.551348099,0.520982748,0.471902962,0.451618664,0.544085285,0.463508255,0.437295195,0.534250026,0.533109052,0.503264464,0.527722889,0.495417829,0.773025567,0.792321385,0.7887532,0.740253652,0.79725864,0.754476372,0.761842805,0.777423086,0.993848349,1.028353667,0.937036692,1.00943404,1.123635278,1.155992846,1.205901589,1.221514741,1.216316979,1.204798883,1.261541742,1.285364553,1.260920989,1.227702942,1.0343173,0.887380364
Albania,1.258194928,1.374186047,1.439955964,1.181681144,1.11174196,1.166099043,1.333055465,1.3637463,1.519551277,1.558967572,1.753239905,1.989497923,2.515914398,2.303897417,1.849006691,1.910633637,2.013584562,2.275876391,2.53062504,2.898208518,1.93505831,2.693023914,2.624856785,2.683239919,2.694291374,2.658015382,2.665356221,2.414060815,2.331598531,2.783243075,1.840840616,1.258115765,0.689859284,0.641405614,0.667178794,0.611710204,0.621836957,0.470097809,0.575350085,0.955359308,1.026213109,1.052228093,1.229101183,1.352144481,1.417273358,1.351491805,1.353362203,1.420867288,1.414847553,1.47565225,1.572250938,1.734823308,1.579091995,1.654524278,1.806788541,1.759987059,1.714126173,1.948872038,1.939731563
Andorra,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,6.778151507,7.521831658,7.23537924,6.9630787,6.724177518,6.541578914,6.733479486,6.99159455,7.307441152,7.63953851,7.923191648,7.952286282,7.721549062,7.566240292,7.242415961,7.344262295,7.353780223,6.790542626,6.531046661,6.439303601,6.156687702,6.157198001,5.850885991,5.944654058,5.942800545,5.807127618,6.026181837,6.080600298,6.104133927,5.97340536
Arab World,0.609268338,0.662617677,0.727117018,0.853115859,0.972381436,1.138673758,1.251997332,1.316087107,1.457734159,1.767050985,1.797938338,1.997325084,2.11931279,2.400508136,2.280801305,2.193992723,2.581496457,2.644691556,2.758892516,2.860874674,3.091803253,2.924498084,2.71072597,2.806024733,2.970000822,3.044786958,3.271081781,3.183740725,3.277904358,3.238795676,2.870778858,2.912911283,2.959285707,3.082221879,3.166690293,3.161191366,3.196048494,3.21328534,3.16314475,3.131298918,3.163304937,3.28250948,3.347226798,3.361727771,3.474239846,3.704297926,3.801646161,3.883139874,4.093538195,4.193271548,4.322001927,4.308740507,4.512189409,4.495194439,4.600190659,4.617963545,4.57030837,4.528350612,4.438715965
United Arab Emirates,0.119036541,0.109135822,0.163541815,0.175833134,0.13281516,0.146821928,0.160452309,5.400016493,6.807102179,101.0531553,65.0175087,76.34985205,70.86525586,77.61913462,67.01617689,56.66747098,62.15653697,52.74497482,53.63795844,39.28906082,36.19856264,33.61020407,31.65451453,28.76986822,35.85468288,36.54478412,32.65699958,31.10022393,29.72692598,31.57484545,30.29910246,31.74752305,29.05169877,28.59923567,29.76407103,30.07744196,29.85678902,30.49007603,29.80576664,28.99499634,26.97453501,29.14565622,28.20537955,27.89114345,27.03156411,25.34315035,22.91623744,21.34759078,22.03262691,19.85255706,19.04327931,18.5899326,19.22311613,20.0154209,19.95185248,20.94809226,21.30760952,21.95061433,20.7974984
Argentina,2.383342738,2.458550953,2.538447236,2.330684619,2.553441563,2.656466458,2.806896016,2.871099282,2.981777188,3.28816092,3.464526801,3.666158963,3.657008599,3.754154724,3.753366162,3.670150846,3.799261982,3.780415632,3.792881804,4.029808803,3.897887773,3.600810155,3.591793169,3.595563797,3.582148015,3.329225096,3.39465765,3.68588379,3.835715557,3.642232114,3.06082582,3.183892912,3.201675429,3.268462271,3.308173561,3.267757293,3.590723767,3.570643522,3.692658254,3.67974327,3.577628213,3.349908589,3.117424796,3.370102174,3.685184209,3.762123928,3.954453814,4.123292779,4.195342638,3.889060402,4.122245087,4.296015486,4.277881789,4.359886344,4.216360632,4.314433522,4.227539442,4.089471516,3.987234198
