title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 7.0 - 18 km SW of Malango, Solomon Islands",7,22-11-2022 02:03,8,7,green,1,768,us,117,0.509,17,mww,14,-9.7963,159.596,"Malango, Solomon Islands",Oceania,Solomon Islands
"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,18-11-2022 13:37,4,4,green,0,735,us,99,2.229,34,mww,25,-4.9559,100.738,"Bengkulu, Indonesia",,
M 7.0 - ,7,12-11-2022 07:09,3,3,green,1,755,us,147,3.125,18,mww,579,-20.0508,-178.346,,Oceania,Fiji
"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,11-11-2022 10:48,5,5,green,1,833,us,149,1.865,21,mww,37,-19.2918,-172.129,"Neiafu, Tonga",,
M 6.6 - ,6.6,09-11-2022 10:14,0,2,green,1,670,us,131,4.998,27,mww,624.464,-25.5948,178.278,,,
M 7.0 - south of the Fiji Islands,7,09-11-2022 09:51,4,3,green,1,755,us,142,4.578,26,mwb,660,-26.0442,178.381,the Fiji Islands,,
M 6.8 - south of the Fiji Islands,6.8,09-11-2022 09:38,1,3,green,1,711,us,136,4.678,22,mww,630.379,-25.9678,178.363,the Fiji Islands,,
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,20-10-2022 11:57,7,6,green,1,797,us,145,1.151,37,mww,20,7.6712,-82.3396,"Boca Chica, Panama",,Panama
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,22-09-2022 06:16,8,7,yellow,1,1179,us,175,2.137,92,mww,20,18.33,-102.913,"Aguililla, Mexico",North America,Mexico
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,19-09-2022 18:05,9,8,yellow,1,1799,us,271,1.153,69,mww,26.943,18.3667,-103.252,"Aguililla, Mexico",North America,Mexico
"M 6.9 - 90 km E of Yujing, Taiwan",6.9,18-09-2022 06:44,9,9,yellow,1,887,us,215,0.401,34,mww,10,23.1444,121.307,"Yujing, Taiwan",Asia,Taiwan
"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,17-09-2022 13:41,7,7,green,1,756,us,178,0.43,54,mww,10,23.029,121.348,"Lugu, Taiwan",Asia,Taiwan
"M 7.0 - 209 km SSE of Isangel, Vanuatu",7,14-09-2022 11:04,7,5,green,1,761,us,192,2.977,45,mww,137,-21.2077,170.239,"Isangel, Vanuatu",,
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,10-09-2022 23:47,8,8,yellow,1,965,us,272,3.158,12,mww,116,-6.2237,146.471,"Kainantu, Papua New Guinea",Oceania,Papua New Guinea
"M 6.6 - 44 km SE of Kangding, China",6.6,05-09-2022 04:52,9,8,orange,0,1043,us,141,8.454,34,mww,12,29.7263,102.279,"Kangding, China",Asia,People's Republic of China
M 6.6 - south of the Kermadec Islands,6.6,14-08-2022 13:44,7,6,green,1,672,us,68,5.293,34,mww,30,-32.6922,-178.959,the Kermadec Islands,,
"M 7.0 - 11 km NE of Bantay, Philippines",7,27-07-2022 00:43,9,8,yellow,1,1351,us,152,5.276,22,mww,33.729,17.5978,120.809,"Bantay, Philippines",Asia,Philippines
"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,08-06-2022 00:55,3,2,green,0,653,us,236,1.999,31,mww,622.73,-9.0618,-71.1647,"Tarauacá, Brazil",South America,Brazil
"M 7.2 - 10 km W of Azángaro, Peru",7.2,26-05-2022 12:02,7,5,green,1,876,us,144,2.494,40,mww,236,-14.8628,-70.3081,"Azángaro, Peru",South America,Peru
M 6.9 - ,6.9,19-05-2022 10:13,2,5,green,1,733,us,127,0.371,45,mww,10,-54.1325,159.027,,,
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,10-05-2022 23:06,6,5,green,1,762,us,162,1.505,30,mww,220,-23.6141,-66.7236,"San Antonio de los Cobres, Argentina",South America,Argentina
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,21-04-2022 07:42,6,5,green,1,762,us,0,0.914,94,mww,27,11.5538,-86.9919,"Masachapa, Nicaragua",,
M 7.0 - southeast of the Loyalty Islands,7,31-03-2022 05:44,6,4,green,1,763,us,0,2.705,26,mww,10,-22.5732,170.349,the Loyalty Islands,,
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,30-03-2022 20:56,6,4,green,1,738,us,0,2.697,42,mww,10,-22.72,170.277,"Tadine, New Caledonia",,
"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,22-03-2022 17:41,8,7,green,1,806,us,0,0.289,32,mww,24,23.3421,121.636,"Hualien City, Taiwan",Asia,Taiwan
"M 7.3 - 57 km ENE of Namie, Japan",7.3,16-03-2022 14:36,9,8,red,1,2397,us,0,2.936,29,mww,41,37.7015,141.587,"Namie, Japan",,
"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,13-03-2022 21:09,9,6,green,0,708,us,0,2.188,43,mww,28,-0.6831,98.6034,"Pariaman, Indonesia",Asia,Indonesia
"M 6.6 - Kermadec Islands, New Zealand",6.6,02-03-2022 12:52,2,7,green,1,670,us,0,0.827,46,mww,24,-30.0528,-177.74,"Kermadec Islands, New Zealand",,
M 6.8 - south of the Fiji Islands,6.8,16-02-2022 20:21,2,3,green,1,712,us,0,5.78,12,mww,535,-23.7852,-179.968,the Fiji Islands,,
"M 6.5 - 49 km NW of Barranca, Peru",6.5,03-02-2022 15:58,8,6,green,0,690,us,0,3.026,22,mww,110,-4.455,-76.9395,"Barranca, Peru",South America,Peru
M 6.5 - Kermadec Islands region,6.5,29-01-2022 02:46,7,4,green,1,651,us,0,1.088,57,mww,8,-29.535,-176.729,Kermadec Islands region,,
"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,14-01-2022 09:05,8,6,green,0,785,us,0,2.418,22,mww,33,-6.9291,105.251,"Labuan, Indonesia",,Indonesia
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11-01-2022 12:39,0,3,,1,650,at,97,1.61607,108,Mi,37,52.502,-168.08,"Nikolski, Alaska",,
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11-01-2022 12:39,0,3,,1,650,pt,23,0,208.8,Mi,37,52.502,-168.08,"Nikolski, Alaska",,
"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,11-01-2022 12:39,8,5,green,1,674,us,0,0.507,49,mww,19,52.6252,-168.15,"Nikolski, Alaska",,
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11-01-2022 11:35,0,4,,1,691,at,50,0.936943,126,Mi,33,52.48,-167.736,"Nikolski, Alaska",,
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11-01-2022 11:35,0,4,,1,691,pt,20,0,205.2,Mi,33,52.48,-167.736,"Nikolski, Alaska",,
"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,11-01-2022 11:35,7,6,green,1,730,us,0,0.92,61,mww,20,52.6563,-167.917,"Nikolski, Alaska",,
"M 6.6 - 48 km WNW of Pólis, Cyprus",6.6,11-01-2022 01:07,6,6,green,0,976,us,0,1.168,21,mww,21,35.1456,31.9095,"Pólis, Cyprus",Asia,
"M 6.6 - northern Qinghai, China",6.6,07-01-2022 17:45,9,8,orange,0,1012,us,0,2.685,13,mww,13,37.8167,101.299,"northern Qinghai, China",Asia,People's Republic of China
