Date,MinTemp,MaxTemp,Rainfall
2016-07-01,5.2,11.4,11.4
2016-07-02,7.2,12.5,0.4
2016-07-03,7.9,12.7,0.2
2016-07-04,8.2,11.7,0.2
2016-07-05,6.7,10.6,1
2016-07-06,7.2,15.4,7.6
2016-07-07,4,16.5,0
2016-07-08,6.5,11.8,0.2
2016-07-09,7,15.8,2
2016-07-10,6.2,14,0
2016-07-11,9.1,16.2,16.6
2016-07-12,8.6,12.9,0.4
2016-07-13,3.6,9.5,9.6
2016-07-14,-0.3,10.8,0.2
2016-07-15,4.4,12.8,0
2016-07-16,-0.4,14,0.2
2016-07-17,0.4,16.5,0
2016-07-18,2.1,13.4,0
2016-07-19,7.3,15.2,5
2016-07-20,8.5,17.3,0
2016-07-21,6.2,16.8,0.4
2016-07-22,9.9,18.2,6.8
2016-07-23,7.1,10.8,24.2
2016-07-24,-0.2,10.1,0.6
2016-07-25,4.7,11.5,12
2016-07-26,4.5,11.3,4
2016-07-27,6.9,12.6,10.6
2016-07-28,5.9,10.8,0
2016-07-29,7.7,12.2,0.8
2016-07-30,8.3,12.1,0.2
2016-07-31,8,14.3,2.2
2016-08-01,9.6,11.8,3.8
2016-08-02,8.3,13.7,21
2016-08-03,-0.2,15.4,0
2016-08-04,1.4,15.1,0.2
2016-08-05,0.5,15.3,0
2016-08-06,1.2,13,0
2016-08-07,0.7,15.6,0.2
2016-08-08,1.4,15.1,0
2016-08-09,1.8,17.2,0
2016-08-10,7.4,15,2.6
2016-08-11,4.7,13.4,0.2
2016-08-12,0.7,11.6,0
2016-08-13,4.7,15.4,0.6
2016-08-14,4.7,16.6,0.2
2016-08-15,2.2,16.8,0
2016-08-16,1.7,18.5,0
2016-08-17,6,18,0
2016-08-18,4,19.6,0
2016-08-19,9.3,16.4,0
2016-08-20,5.3,12,11
2016-08-21,5.4,15.4,1
2016-08-22,8.4,13.9,0.2
2016-08-23,4.2,15.7,11
2016-08-24,2.6,12.2,0
2016-08-25,3.3,14.1,0.2
2016-08-26,0.2,13.6,0
